freq,amp,stime,prc2,gene_id
1.0,200,4.28,0.2,49
0.0,250,4.13,0.2,49
0.05,250,4.09,0.2,49
0.1,250,4.09,0.2,49
0.15,250,4.09,0.2,49
0.2,250,4.09,0.2,49
0.25,250,4.09,0.2,49
0.3,250,4.09,0.2,49
0.35,250,4.09,0.2,49
0.4,250,4.09,0.2,49
0.45,250,4.09,0.2,49
0.5,250,4.09,0.2,49
0.55,250,4.09,0.2,49
0.6,250,4.09,0.2,49
0.65,250,4.09,0.2,49
0.7,250,4.09,0.2,49
0.75,250,4.09,0.2,49
0.8,250,4.1,0.2,49
0.85,250,4.09,0.2,49
0.9,250,4.15,0.2,49
0.95,250,4.16,0.2,49
1.0,250,4.24,0.2,49
0.0,300,4.06,0.2,49
0.05,300,4.06,0.2,49
0.1,300,4.06,0.2,49
0.15,300,4.06,0.2,49
0.2,300,4.06,0.2,49
0.25,300,4.06,0.2,49
0.3,300,4.06,0.2,49
0.35,300,4.06,0.2,49
0.4,300,4.06,0.2,49
0.45,300,4.06,0.2,49
0.5,300,4.06,0.2,49
0.55,300,4.06,0.2,49
0.6,300,4.06,0.2,49
0.65,300,4.06,0.2,49
0.7,300,4.06,0.2,49
0.75,300,4.06,0.2,49
0.8,300,4.07,0.2,49
0.85,300,4.09,0.2,49
0.9,300,4.11,0.2,49
0.95,300,4.15,0.2,49
1.0,300,4.21,0.2,49
0.0,50,5.84,0.25,49
0.05,50,5.87,0.25,49
0.1,50,5.87,0.25,49
0.15,50,5.87,0.25,49
0.2,50,5.87,0.25,49
0.25,50,5.87,0.25,49
0.3,50,5.87,0.25,49
0.35,50,5.87,0.25,49
0.4,50,5.87,0.25,49
0.45,50,5.87,0.25,49
0.5,50,5.87,0.25,49
0.55,50,5.85,0.25,49
0.6,50,5.87,0.25,49
0.65,50,5.97,0.25,49
0.7,50,6.15,0.25,49
0.75,50,6.42,0.25,49
0.8,50,6.85,0.25,49
0.85,50,7.37,0.25,49
0.9,50,8.0,0.25,49
0.95,50,8.56,0.25,49
1.0,50,8.95,0.25,49
0.0,100,5.18,0.25,49
0.05,100,5.16,0.25,49
0.1,100,5.16,0.25,49
0.15,100,5.16,0.25,49
0.2,100,5.16,0.25,49
0.25,100,5.16,0.25,49
0.3,100,5.16,0.25,49
0.35,100,5.16,0.25,49
0.4,100,5.16,0.25,49
0.45,100,5.16,0.25,49
0.5,100,5.16,0.25,49
0.55,100,5.16,0.25,49
0.6,100,5.16,0.25,49
0.65,100,5.16,0.25,49
0.7,100,5.25,0.25,49
0.75,100,5.35,0.25,49
0.8,100,5.47,0.25,49
0.85,100,5.67,0.25,49
0.9,100,5.95,0.25,49
0.95,100,6.34,0.25,49
1.0,100,6.84,0.25,49
0.0,150,4.94,0.25,49
0.05,150,4.94,0.25,49
0.1,150,4.94,0.25,49
0.15,150,4.94,0.25,49
0.2,150,4.94,0.25,49
0.25,150,4.94,0.25,49
0.3,150,4.94,0.25,49
0.35,150,4.94,0.25,49
0.4,150,4.94,0.25,49
0.45,150,4.94,0.25,49
0.5,150,4.94,0.25,49
0.55,150,4.94,0.25,49
0.6,150,4.94,0.25,49
0.65,150,4.93,0.25,49
0.7,150,4.96,0.25,49
0.75,150,5.02,0.25,49
0.8,150,5.11,0.25,49
0.85,150,5.25,0.25,49
0.9,150,5.48,0.25,49
0.95,150,5.72,0.25,49
1.0,150,6.09,0.25,49
0.0,200,4.8,0.25,49
0.05,200,4.83,0.25,49
0.1,200,4.83,0.25,49
0.15,200,4.83,0.25,49
0.2,200,4.83,0.25,49
0.25,200,4.83,0.25,49
0.3,200,4.83,0.25,49
0.35,200,4.83,0.25,49
0.4,200,4.83,0.25,49
0.45,200,4.83,0.25,49
0.5,200,4.83,0.25,49
0.55,200,4.83,0.25,49
0.6,200,4.83,0.25,49
0.65,200,4.81,0.25,49
0.7,200,4.81,0.25,49
0.75,200,4.85,0.25,49
0.8,200,4.93,0.25,49
0.85,200,5.05,0.25,49
0.9,200,5.24,0.25,49
0.95,200,5.43,0.25,49
1.0,200,5.79,0.25,49
0.0,250,4.72,0.25,49
0.05,250,4.75,0.25,49
0.1,250,4.75,0.25,49
0.15,250,4.75,0.25,49
0.2,250,4.75,0.25,49
0.25,250,4.75,0.25,49
0.3,250,4.75,0.25,49
0.35,250,4.75,0.25,49
0.4,250,4.75,0.25,49
0.45,250,4.75,0.25,49
0.5,250,4.75,0.25,49
0.55,250,4.75,0.25,49
0.6,250,4.75,0.25,49
0.65,250,4.75,0.25,49
0.7,250,4.75,0.25,49
0.75,250,4.75,0.25,49
0.8,250,4.85,0.25,49
0.85,250,4.94,0.25,49
0.9,250,5.11,0.25,49
0.95,250,5.33,0.25,49
1.0,250,5.6,0.25,49
0.0,300,4.69,0.25,49
0.05,300,4.7,0.25,49
0.1,300,4.7,0.25,49
0.15,300,4.7,0.25,49
0.2,300,4.7,0.25,49
0.25,300,4.7,0.25,49
0.3,300,4.7,0.25,49
0.35,300,4.7,0.25,49
0.4,300,4.7,0.25,49
0.45,300,4.7,0.25,49
0.5,300,4.7,0.25,49
0.55,300,4.7,0.25,49
0.6,300,4.7,0.25,49
0.65,300,4.7,0.25,49
0.7,300,4.67,0.25,49
0.75,300,4.69,0.25,49
0.8,300,4.77,0.25,49
0.85,300,4.87,0.25,49
0.9,300,4.98,0.25,49
0.95,300,5.22,0.25,49
1.0,300,5.43,0.25,49
0.0,50,7.0,0.3,49
0.05,50,7.04,0.3,49
0.1,50,7.04,0.3,49
0.15,50,7.04,0.3,49
0.2,50,7.04,0.3,49
0.25,50,7.04,0.3,49
0.3,50,7.04,0.3,49
0.35,50,7.04,0.3,49
0.4,50,7.04,0.3,49
0.45,50,7.01,0.3,49
0.5,50,7.04,0.3,49
0.55,50,7.32,0.3,49
0.6,50,7.87,0.3,49
0.65,50,8.95,0.3,49
0.7,50,11.3,0.3,49
0.75,50,12.78,0.3,49
0.8,50,13.32,0.3,49
0.85,50,13.94,0.3,49
0.9,50,14.89,0.3,49
0.95,50,15.86,0.3,49
1.0,50,16.36,0.3,49
0.0,100,5.95,0.3,49
0.05,100,5.94,0.3,49
0.1,100,5.94,0.3,49
0.15,100,5.94,0.3,49
0.2,100,5.94,0.3,49
0.25,100,5.94,0.3,49
0.3,100,5.94,0.3,49
0.35,100,5.94,0.3,49
0.4,100,5.94,0.3,49
0.45,100,5.94,0.3,49
0.5,100,5.94,0.3,49
0.55,100,5.95,0.3,49
0.6,100,6.03,0.3,49
0.65,100,6.24,0.3,49
0.7,100,6.52,0.3,49
0.75,100,7.08,0.3,49
0.8,100,8.15,0.3,49
0.85,100,9.53,0.3,49
0.9,100,10.39,0.3,49
0.95,100,10.74,0.3,49
